fileNumber,reportDate,crimeType,neighborhoodName,location,latitude,longitude
2018-04386,2018-06-30T22:50:00Z,Commercial Robbery,East Cambridge,"200 MONSIGNOR OBRIEN HWY, Cambridge, MA",42.372146,-71.079356
2018-04406,2018-07-01T19:13:00Z,Larceny of Bicycle,East Cambridge,"0 LEIGHTON ST, Cambridge, MA",42.369909,-71.074178
2018-04415,2018-07-02T11:06:00Z,Warrant Arrest,East Cambridge,"100 CAMBRIDGESIDE PL, Cambridge, MA",42.367005,-71.076013
2018-04420,2018-07-02T14:26:00Z,Larceny from MV,Peabody,"100 ALPINE ST, Cambridge, MA",42.385984,-71.136424
2018-04422,2018-07-02T16:29:00Z,Flim Flam,Agassiz,"100 OXFORD ST, Cambridge, MA",42.382883,-71.115918
2018-04429,2018-07-02T19:27:00Z,Shoplifting,East Cambridge,"100 CAMBRIDGESIDE PL, Cambridge, MA",42.367005,-71.076013
2018-03532,2018-05-29T14:12:00Z,Taxi Violation,East Cambridge,"0 LAND BLVD, Cambridge, MA",42.368846,-71.073159
2018-03535,2018-05-29T15:50:00Z,Rec. Stol. Property,Area 4,"HARVARD ST & PORTLAND ST, Cambridge, MA",55.745505,-97.832438
2018-03540,2018-05-29T18:46:00Z,Hit and Run,Inman/Harrington,"CAMBRIDGE ST & ELM ST, Cambridge, MA",44.786488,-79.922467
2018-03544,2018-05-29T20:06:00Z,Taxi Violation,Area 4,"BROADWAY & MOORE ST, Cambridge, MA",38.611638,-78.794953
2018-03547,2018-05-29T20:25:00Z,Taxi Violation,Area 4,"BROADWAY & MOORE ST, Cambridge, MA",38.611638,-78.794953
2018-03551,2018-05-30T03:58:00Z,Commercial Robbery,Inman/Harrington,"1000 CAMBRIDGE ST, Cambridge, MA",42.372661,-71.09358
2018-03554,2018-05-30T08:08:00Z,Forgery,Inman/Harrington,"200 WEBSTER AVE, Cambridge, MA",42.373028,-71.094652
2018-02850,2018-05-04T16:21:00Z,Larceny from Building,East Cambridge,"200 SPRING ST, Cambridge, MA",42.369631,-71.087034
2018-02865,2018-05-04T21:46:00Z,Hit and Run,Cambridgeport,"MASSACHUSETTS AVE & SIDNEY ST, Cambridge, MA",44.663074,-63.611624
2018-02883,2018-05-05T19:07:00Z,Larceny from Residence,Mid-Cambridge,"0 TROWBRIDGE ST, Cambridge, MA",42.370686,-71.112291
2018-02891,2018-05-06T03:52:00Z,Warrant Arrest,West Cambridge,"0 FARWELL PL, Cambridge, MA",42.374508,-71.121344
2018-02892,2018-05-06T05:49:00Z,Trespassing,West Cambridge,"0 GARDEN ST, Cambridge, MA",42.375693,-71.120854
2018-02911,2018-05-07T08:23:00Z,Aggravated Assault,Highlands,"100 BOLTON ST, Cambridge, MA",42.38978,-71.131007
2018-02915,2018-05-07T09:37:00Z,Shoplifting,Cambridgeport,"600 MASSACHUSETTS AVE, Cambridge, MA",42.364679,-71.103382
2018-02920,2018-05-07T12:27:00Z,Warrant Arrest,East Cambridge,"100 SIXTH ST, Cambridge, MA",42.368217,-71.085398
2018-02945,2018-05-07T21:04:00Z,Admin Error,Highlands,"200 Alewife Brook Pky, Cambridge, MA",42.389009,-71.141623
2018-02950,2018-05-08T06:48:00Z,Larceny from MV,Peabody,"0 AVON HILL ST, Cambridge, MA",42.383943,-71.123676
2018-02952,2018-05-08T08:23:00Z,Arson,West Cambridge,"0 BUCKINGHAM PL, Cambridge, MA",42.379131,-71.129208
2018-02955,2018-05-08T11:37:00Z,Admin Error,East Cambridge,"100 OTIS ST, Cambridge, MA",42.370439,-71.082602
2018-02993,2018-05-09T20:03:00Z,Accident,Highlands,"600 CONCORD AVE, Cambridge, MA",42.388957,-71.14597
2018-03000,2018-05-10T07:23:00Z,Larceny (Misc),North Cambridge,"DUDLEY ST & REED ST, Cambridge, MA",44.659427,-63.61531
2018-03003,2018-05-10T09:24:00Z,Larceny from MV,East Cambridge,"100 SIXTH ST, Cambridge, MA",42.368217,-71.085398
2018-03019,2018-05-10T18:43:00Z,Larceny of Plate,Highlands,"100 FAWCETT ST, Cambridge, MA",42.392884,-71.146214
2018-03897,2018-06-12T12:37:00Z,Street Robbery,Cambridgeport,"GREEN ST & MAGAZINE ST, Cambridge, MA",54.316124,-130.313042
2018-03904,2018-06-12T17:06:00Z,Larceny of Bicycle,North Cambridge,"400 RINDGE AVE, Cambridge, MA",42.393076,-71.13989
2018-03909,2018-06-13T09:03:00Z,Shoplifting,Cambridgeport,"600 Massachusetts Ave, Cambridge, MA",42.364679,-71.103382
2018-03956,2018-06-14T17:07:00Z,Aggravated Assault,Highlands,"100 Smith Pl, Cambridge, MA",42.39306,-71.150271
2018-03978,2018-06-15T13:41:00Z,Mal. Dest. Property,Mid-Cambridge,"0 REMINGTON ST, Cambridge, MA",42.370962,-71.113342
2018-03994,2018-06-16T11:51:00Z,Larceny from Building,West Cambridge,"300 CONCORD AVE, Cambridge, MA",42.383648,-71.134159
2018-04009,2018-06-17T09:03:00Z,Mal. Dest. Property,West Cambridge,"300 Mount Auburn St, Cambridge, MA",42.373903,-71.134238
2018-04022,2018-06-17T19:37:00Z,Drinking in Public,Cambridgeport,"MASSACHUSETTS AVE & WESTERN AVE, Cambridge, MA",44.663074,-63.611624
2018-04039,2018-06-18T16:04:00Z,Larceny from Residence,East Cambridge,"200 OTIS ST, Cambridge, MA",42.371158,-71.08742
2018-04057,2018-06-19T13:11:00Z,Larceny from MV,Cambridgeport,"500 MASSACHUSETTS AVE, Cambridge, MA",42.363967,-71.101705
2018-04075,2018-06-19T22:24:00Z,Drinking in Public,Cambridgeport,"MASSACHUSETTS AVE & WESTERN AVE, Cambridge, MA",44.663074,-63.611624
2018-04091,2018-06-20T12:15:00Z,Suspicious Package,East Cambridge,"100 Sixth St, Cambridge, MA",42.368217,-71.085398
2018-03486,2018-05-27T14:37:00Z,Mal. Dest. Property,Cambridgeport,"600 MASSACHUSETTS AVE, Cambridge, MA",42.364679,-71.103382
2018-03490,2018-05-27T20:07:00Z,Larceny of Bicycle,Peabody,"0 CONCORD AVE, Cambridge, MA",42.377648,-71.122836
2018-03491,2018-05-28T00:23:00Z,Simple Assault,Cambridgeport,"500 MASSACHUSETTS AVE, Cambridge, MA",42.363967,-71.101705
2018-03497,2018-05-28T08:56:00Z,Street Robbery,Cambridgeport,"600 Massachusetts Ave, Cambridge, MA",42.364679,-71.103382
2018-03498,2018-05-28T10:53:00Z,Simple Assault,West Cambridge,"300 Mount Auburn St, Cambridge, MA",42.373903,-71.134238
2018-04199,2018-06-24T03:42:00Z,Simple Assault,West Cambridge,"0 UNIVERSITY RD, Cambridge, MA",42.372974,-71.122978
2018-04220,2018-06-24T23:25:00Z,Warrant Arrest,Area 4,"500 MASSACHUSETTS AVE, Cambridge, MA",42.363967,-71.101705
2018-03419,2018-05-24T18:58:00Z,Larceny from Person,Area 4,"700 Massachusetts Ave, Cambridge, MA",42.365753,-71.104773
2018-03427,2018-05-24T20:51:00Z,Hit and Run,Cambridgeport,"BROOKLINE ST & MEMORIAL DR, Cambridge, MA",42.501671,-83.17252
2018-03429,2018-05-24T21:25:00Z,Disorderly,Area 4,"500 MASSACHUSETTS AVE, Cambridge, MA",42.363967,-71.101705
2018-03473,2018-05-26T15:19:00Z,Shoplifting,Cambridgeport,"300 MASSACHUSETTS AVE, Cambridge, MA",42.361983,-71.098506
2018-03481,2018-05-26T23:35:00Z,Missing Person,Riverside,"0 HINGHAM ST, Cambridge, MA",42.364936,-71.114114
2018-03483,2018-05-26T14:54:00Z,Hit and Run,Mid-Cambridge,"100 PRESCOTT ST, Cambridge, MA",42.375041,-71.113276
2018-03499,2018-05-28T11:21:00Z,Auto Theft,Riverside,"0 HINGHAM ST, Cambridge, MA",42.364936,-71.114114
2018-03511,2018-05-28T17:14:00Z,Missing Person,Riverside,"0 HINGHAM ST, Cambridge, MA",42.364936,-71.114114
2018-03512,2018-05-28T17:53:00Z,Warrant Arrest,Area 4,"600 MASSACHUSETTS AVE, Cambridge, MA",42.364679,-71.103382
2018-03527,2018-05-29T11:13:00Z,Auto Theft,Inman/Harrington,"400 BINNEY ST, Cambridge, MA",42.366912,-71.089319
2018-03528,2018-05-29T12:02:00Z,Auto Theft,Inman/Harrington,"400 BINNEY ST, Cambridge, MA",42.366912,-71.089319
2018-03566,2018-05-30T15:57:00Z,Hit and Run,Inman/Harrington,"BERKSHIRE ST & CAMBRIDGE ST, Cambridge, MA",39.995886,-75.07985
2018-03588,2018-05-31T10:06:00Z,Forgery,Riverside,"0 MILDRED HAMILTON PL, Cambridge, MA",42.363404,-71.111094
2018-03592,2018-05-31T13:17:00Z,Hit and Run,Area 4,"100 WINDSOR ST, Cambridge, MA",42.363955,-71.096374
2018-03600,2018-05-31T19:40:00Z,Warrant Arrest,Area 4,"600 MASSACHUSETTS AVE, Cambridge, MA",42.364679,-71.103382
2018-03605,2018-06-01T00:15:00Z,Hit and Run,Riverside,"MONTAGUE ST & River St, Cambridge, MA",44.907477,-76.020827
2018-03612,2018-06-01T10:01:00Z,Larceny from Person,Area 4,"600 MASSACHUSETTS AVE, Cambridge, MA",42.364679,-71.103382
2018-03615,2018-06-01T12:48:00Z,Missing Person,Riverside,"0 MILDRED HAMILTON PL, Cambridge, MA",42.363404,-71.111094
2018-03619,2018-06-01T15:58:00Z,Shoplifting,Area 4,"600 MASSACHUSETTS AVE, Cambridge, MA",42.364679,-71.103382
2018-03628,2018-06-01T22:18:00Z,Warrant Arrest,Area 4,"CHERRY ST & SCHOOL ST, Cambridge, MA",43.646362,-79.353301
2018-03653,2018-06-03T02:52:00Z,Larceny from Person,Area 4,"500 Massachusetts Ave, Cambridge, MA",42.363967,-71.101705
2018-03658,2018-06-03T13:03:00Z,Flim Flam,Cambridgeport,"100 FRANKLIN ST, Cambridge, MA",42.361779,-71.100975
2018-03677,2018-06-04T00:15:00Z,Housebreak,West Cambridge,"0 BREWER ST, Cambridge, MA",42.373616,-71.124947
2018-03679,2018-06-04T01:19:00Z,Aggravated Assault,Area 4,"BISHOP ALLEN DR & NORFOLK ST, Cambridge, MA",42.364078,-71.099327
2018-03682,2018-06-04T07:12:00Z,Warrant Arrest,Area 4,"500 Massachusetts Ave, Cambridge, MA",42.363967,-71.101705
2018-03685,2018-06-04T10:36:00Z,Embezzlement,Cambridgeport,"0 SIDNEY ST, Cambridge, MA",42.363129,-71.099309
2018-03690,2018-06-04T13:59:00Z,Housebreak,Cambridgeport,"100 ALLSTON ST, Cambridge, MA",42.357925,-71.107364
2018-03705,2018-06-04T23:26:00Z,Drugs,North Cambridge,"2100 MASSACHUSETTS AVE, Cambridge, MA",42.391478,-71.123919
2018-03726,2018-06-05T17:55:00Z,Housebreak,Cambridgeport,"0 FORT WASHINGTON PL, Cambridge, MA",42.356356,-71.10732
2018-03729,2018-06-05T18:41:00Z,Housebreak,Cambridgeport,"0 FORT WASHINGTON PL, Cambridge, MA",42.356356,-71.10732
2018-03741,2018-06-06T10:50:00Z,Larceny from Residence,Cambridgeport,"0 MAGAZINE ST, Cambridge, MA",42.365024,-71.104316
2018-03742,2018-06-06T11:01:00Z,Mal. Dest. Property,Cambridgeport,"0 PEARL ST, Cambridge, MA",42.364293,-71.102734
2018-03749,2018-06-06T13:58:00Z,Drugs,Area 4,"600 MASSACHUSETTS AVE, Cambridge, MA",42.364679,-71.103382
2018-03562,2018-05-30T11:11:00Z,Drugs,East Cambridge,"200 MONSIGNOR OBRIEN HWY, Cambridge, MA",42.372146,-71.079356
2018-03567,2018-05-30T15:28:00Z,Threats,Area 4,"100 HAMPSHIRE ST, Cambridge, MA",42.369033,-71.095397
2018-03571,2018-05-30T17:33:00Z,Aggravated Assault,East Cambridge,"Hurley St & First St, Cambridge, MA",46.481109,-84.079247
2018-03574,2018-05-30T19:32:00Z,Forgery,East Cambridge,"100 Cambridge Pky, Cambridge, MA",42.36689,-71.074067
2018-03577,2018-05-30T19:48:00Z,Larceny from Residence,Riverside,"0 BAY ST, Cambridge, MA",42.368539,-71.11034
2018-03581,2018-05-30T22:34:00Z,Forgery,Peabody,"0 LINNAEAN ST, Cambridge, MA",42.384548,-71.119893
2018-03601,2018-05-31T20:06:00Z,Simple Assault,Agassiz,"0 WHITE ST, Cambridge, MA",42.388549,-71.118652
2018-03627,2018-06-01T22:06:00Z,Flim Flam,East Cambridge,"300 THIRD ST, Cambridge, MA",42.36531,-71.081917
2018-03643,2018-06-02T17:06:00Z,Hit and Run,North Cambridge,"0 WALDEN ST, Cambridge, MA",42.391091,-71.123208
2018-03647,2018-06-02T19:40:00Z,Street Robbery,East Cambridge,"100 CAMBRIDGESIDE PL, Cambridge, MA",42.367005,-71.076013
2018-03657,2018-06-03T12:16:00Z,Suspicious Package,MIT,"LONGFELLOW BRIDGE & Longfellow Bridge, Cambridge, MA",42.268546,-83.024437
2018-03661,2018-06-03T15:17:00Z,Admin Error,East Cambridge,"100 CAMBRIDGESIDE PL, Cambridge, MA",42.367005,-71.076013
2018-03662,2018-06-03T14:43:00Z,Hit and Run,East Cambridge,"100 CAMBRIDGESIDE PL, Cambridge, MA",42.367005,-71.076013
2018-03665,2018-06-03T15:40:00Z,Accident,Peabody,"100 Sherman St, Cambridge, MA",42.389049,-71.132445
2018-03670,2018-06-03T16:36:00Z,Trespassing,East Cambridge,"100 CAMBRIDGESIDE PL, Cambridge, MA",42.367005,-71.076013
2018-03674,2018-06-03T20:24:00Z,Hit and Run,Mid-Cambridge,"100 FAYETTE ST, Cambridge, MA",42.373389,-71.102253
2018-03680,2018-06-04T04:24:00Z,Street Robbery,North Cambridge,"1900 MASSACHUSETTS AVE, Cambridge, MA",42.388779,-71.119846
2018-03687,2018-06-04T13:04:00Z,Mal. Dest. Property,West Cambridge,"300 Fresh Pond Pky, Cambridge, MA",42.384785,-71.141773
2018-03692,2018-06-04T16:50:00Z,Shoplifting,East Cambridge,"100 CAMBRIDGESIDE PL, Cambridge, MA",42.367005,-71.076013
2018-03694,2018-06-04T17:11:00Z,Admin Error,East Cambridge,"0 MUSEUM WAY, Cambridge, MA",42.370227,-71.07127
2018-03697,2018-06-04T19:22:00Z,Simple Assault,Area 4,"0 LINWOOD CT, Cambridge, MA",42.367644,-71.096424
2018-03698,2018-06-04T17:33:00Z,Shoplifting,East Cambridge,"100 CAMBRIDGESIDE PL, Cambridge, MA",42.367005,-71.076013
2018-03720,2018-06-05T15:41:00Z,Suspicious Package,MIT,"LONGFELLOW BRIDGE & Longfellow Bridge, Cambridge, MA",42.268546,-83.024437
2018-03725,2018-06-05T17:48:00Z,Hit and Run,Peabody,"300 WALDEN ST, Cambridge, MA",42.385265,-71.132065
2018-03743,2018-06-06T10:47:00Z,Admin Error,Mid-Cambridge,"400 BROADWAY, Cambridge, MA",42.37184,-71.10741
2018-03752,2018-06-06T16:28:00Z,Larceny from Residence,Agassiz,"0 FOREST ST, Cambridge, MA",42.385137,-71.118738
2018-03759,2018-06-06T16:57:00Z,Simple Assault,Inman/Harrington,"1200 CAMBRIDGE ST, Cambridge, MA",42.373126,-71.097391
2018-03761,2018-06-06T18:59:00Z,Larceny from Person,East Cambridge,"0 Canal Park, Cambridge, MA",42.370106,-71.076735
2018-03765,2018-06-06T21:24:00Z,Warrant Arrest,Inman/Harrington,"1200 CAMBRIDGE ST, Cambridge, MA",42.373126,-71.097391
2018-03766,2018-06-06T22:29:00Z,Housebreak,Riverside,"600 GREEN ST, Cambridge, MA",42.368347,-71.111322
2018-03773,2018-06-07T08:56:00Z,Simple Assault,Agassiz,"100 OXFORD ST, Cambridge, MA",42.382883,-71.115918
2018-03784,2018-06-07T13:50:00Z,Drugs,Area 4,"MAIN ST & PORTLAND ST, Cambridge, MA",42.262699,-110.194444
2018-03785,2018-06-07T13:50:00Z,Shoplifting,East Cambridge,"100 CAMBRIDGESIDE PL, Cambridge, MA",42.367005,-71.076013
2018-03787,2018-06-07T15:36:00Z,Larceny from Person,East Cambridge,"100 CAMBRIDGESIDE PL, Cambridge, MA",42.367005,-71.076013
2018-03794,2018-06-07T18:09:00Z,Flim Flam,MIT,"100 MEMORIAL DR, Cambridge, MA",42.36027,-71.085665
2018-00955,2018-02-14T10:17:00Z,Harassment,Cambridgeport,"100 PLEASANT ST, Cambridge, MA",42.361585,-71.110795
2018-00956,2018-02-14T11:03:00Z,Simple Assault,West Cambridge,"1400 MASSACHUSETTS AVE, Cambridge, MA",42.373725,-71.119656
2018-00980,2018-02-15T11:08:00Z,Trespassing,North Cambridge,"200 CAMBRIDGEPARK DR, Cambridge, MA",42.39549,-71.149912
2018-00987,2018-02-15T14:25:00Z,Larceny of Bicycle,Peabody,"0 Lancaster St, Cambridge, MA",42.385411,-71.120344
2018-00990,2018-02-15T16:11:00Z,Mal. Dest. Property,Cambridgeport,"100 FAIRMONT ST, Cambridge, MA",42.362327,-71.112207
2018-04250,2018-06-26T06:27:00Z,Admin Error,North Cambridge,"CONCORD TPKE & Concord Tpke, Cambridge, MA",37.39629,-79.117111
2018-04256,2018-06-26T09:51:00Z,Hit and Run,Strawberry Hill,"600 HURON AVE, Cambridge, MA",42.378864,-71.1493
2018-04267,2018-06-26T16:33:00Z,Suspicious Package,North Cambridge,"0 BEECH ST, Cambridge, MA",42.39049,-71.120341
2018-04268,2018-06-26T16:15:00Z,Hit and Run,West Cambridge,"1400 MASSACHUSETTS AVE, Cambridge, MA",42.373725,-71.119656
2018-04270,2018-06-26T17:20:00Z,Accident,MIT,"300 VASSAR ST, Cambridge, MA",42.355257,-71.104318
2018-04284,2018-06-26T23:02:00Z,Threats,Peabody,"100 LINCOLN WAY, Cambridge, MA",42.388458,-71.128826
2018-04293,2018-06-27T06:05:00Z,Shoplifting,North Cambridge,"0 White St, Cambridge, MA",42.388549,-71.118652
2018-04296,2018-06-27T08:52:00Z,Larceny from Person,West Cambridge,"0 Brattle St, Cambridge, MA",42.373206,-71.119651
2018-04311,2018-06-27T18:45:00Z,Larceny from MV,North Cambridge,"0 CHESTER ST, Cambridge, MA",42.39324,-71.124615
2018-04336,2018-06-28T16:43:00Z,Larceny from Building,West Cambridge,"0 CHURCH ST, Cambridge, MA",42.374155,-71.119497
2018-04340,2018-06-28T19:28:00Z,Larceny of Bicycle,West Cambridge,"0 BRATTLE ST, Cambridge, MA",42.373206,-71.119651
2018-04347,2018-06-29T12:43:00Z,Simple Assault,North Cambridge,"MASSACHUSETTS AVE & WALDEN ST, Cambridge, MA",44.663074,-63.611624
2018-04353,2018-06-29T15:11:00Z,Housebreak,Area 4,"0 SUFFOLK ST, Cambridge, MA",42.365966,-71.099377
2018-04364,2018-06-29T23:05:00Z,Larceny from Building,North Cambridge,"0 CAMBRIDGEPARK DR, Cambridge, MA",42.394422,-71.141635
2018-04370,2018-06-30T02:06:00Z,Mal. Dest. Property,North Cambridge,"0 CAMERON AVE, Cambridge, MA",42.397421,-71.129941
2018-04371,2018-06-30T02:22:00Z,Aggravated Assault,West Cambridge,"0 ELIOT ST, Cambridge, MA",42.372362,-71.12154
2018-04372,2018-06-30T02:43:00Z,Flim Flam,Cambridgeport,"0 FAIRMONT ST, Cambridge, MA",42.361073,-71.110194
2018-04381,2018-06-30T13:26:00Z,Larceny from Person,West Cambridge,"INMAN ST & MASSACHUSETTS AVE, Cambridge, MA",37.684753,-121.761515
2018-04382,2018-06-30T18:16:00Z,Larceny from Building,Cambridgeport,"0 MAGAZINE ST, Cambridge, MA",42.365024,-71.104316
2018-04391,2018-07-01T05:15:00Z,Street Robbery,West Cambridge,"HARVARD SQ & MASSACHUSETTS AVE, Cambridge, MA",39.794787,-88.973159
2018-03686,2018-06-04T12:14:00Z,Forgery,Mid-Cambridge,"700 MASSACHUSETTS AVE, Cambridge, MA",42.365753,-71.104773
2018-03703,2018-06-04T22:26:00Z,Shoplifting,North Cambridge,"0 White St, Cambridge, MA",42.388549,-71.118652
2018-03708,2018-06-05T06:55:00Z,Simple Assault,Mid-Cambridge,"0 TEMPLE ST, Cambridge, MA",42.366219,-71.104109
2018-03718,2018-06-05T13:57:00Z,Simple Assault,Area 4,"100 Essex St, Cambridge, MA",42.367556,-71.100842
2018-03719,2018-06-05T14:26:00Z,Housebreak,Mid-Cambridge,"0 TEMPLE ST, Cambridge, MA",42.366219,-71.104109
2018-03724,2018-06-05T16:45:00Z,Hit and Run,Mid-Cambridge,"700 MASSACHUSETTS AVE, Cambridge, MA",42.365753,-71.104773
2018-03728,2018-06-05T18:31:00Z,Warrant Arrest,Mid-Cambridge,"MASSACHUSETTS AVE & PROSPECT ST, Cambridge, MA",44.663074,-63.611624
2018-03732,2018-06-05T20:17:00Z,Hit and Run,Mid-Cambridge,"Prospect St & Bishop Allen Dr, Cambridge, MA",51.013507,-93.836366
2018-03735,2018-06-05T23:55:00Z,Aggravated Assault,West Cambridge,"0 ELIOT ST, Cambridge, MA",42.372362,-71.12154
2018-03516,2018-05-28T20:48:00Z,Commercial Robbery,East Cambridge,"600 CAMBRIDGE ST, Cambridge, MA",42.371696,-71.086379
2018-03552,2018-05-30T06:20:00Z,Warrant Arrest,East Cambridge,"100 SIXTH ST, Cambridge, MA",42.368217,-71.085398
2018-03555,2018-05-30T08:01:00Z,Hit and Run,West Cambridge,"BRATTLE ST & LOWELL ST, Cambridge, MA",42.375298,-71.145481
2018-03570,2018-05-30T17:43:00Z,Mal. Dest. Property,North Cambridge,"100 JACKSON PL, Cambridge, MA",42.392554,-71.134865
2018-03582,2018-05-31T06:41:00Z,Threats,Cambridgeport,"500 MASSACHUSETTS AVE, Cambridge, MA",42.363967,-71.101705
2018-03585,2018-05-31T07:36:00Z,Larceny from Building,Cambridgeport,"600 MASSACHUSETTS AVE, Cambridge, MA",42.364679,-71.103382
2018-03597,2018-05-31T16:55:00Z,Flim Flam,Peabody,"200 UPLAND RD, Cambridge, MA",42.386185,-71.126873
2018-03620,2018-06-01T15:01:00Z,Larceny from MV,Highlands,"0 LOOMIS ST, Cambridge, MA",42.393239,-71.155208
2018-03625,2018-06-01T20:59:00Z,Hit and Run,Highlands,"200 Alewife Brook Pky, Cambridge, MA",42.389009,-71.141623
2018-03629,2018-06-01T21:55:00Z,Warrant Arrest,Cambridgeport,"500 MASSACHUSETTS AVE, Cambridge, MA",42.363967,-71.101705
2018-03633,2018-06-02T09:04:00Z,Aggravated Assault,Cambridgeport,"600 MASSACHUSETTS AVE, Cambridge, MA",42.364679,-71.103382
2018-03634,2018-06-02T10:13:00Z,Warrant Arrest,Cambridgeport,"600 MASSACHUSETTS AVE, Cambridge, MA",42.364679,-71.103382
2018-03641,2018-06-02T17:45:00Z,Larceny from Building,Cambridgeport,"500 MASSACHUSETTS AVE, Cambridge, MA",42.363967,-71.101705
2018-03652,2018-06-03T01:59:00Z,Simple Assault,Cambridgeport,"500 MASSACHUSETTS AVE, Cambridge, MA",42.363967,-71.101705
2018-03671,2018-06-03T17:59:00Z,Accident,East Cambridge,"CHARLES ST & FIFTH ST, Cambridge, MA",26.694329,-80.063818
2018-03672,2018-06-03T19:29:00Z,Larceny from Person,Cambridgeport,"GREEN ST & MAGAZINE ST, Cambridge, MA",54.316124,-130.313042
2018-03683,2018-06-04T10:20:00Z,Trespassing,Cambridgeport,"600 MASSACHUSETTS AVE, Cambridge, MA",42.364679,-71.103382
2018-03695,2018-06-04T18:07:00Z,Flim Flam,East Cambridge,"200 GORE ST, Cambridge, MA",42.372624,-71.08593
2018-03709,2018-06-05T09:05:00Z,Accident,Highlands,"CONCORD AVE & FAWCETT ST, Cambridge, MA",43.169572,-79.470458
2018-03711,2018-06-05T10:28:00Z,Larceny from Building,East Cambridge,"100 SIXTH ST, Cambridge, MA",42.368217,-71.085398
2018-03712,2018-06-05T10:54:00Z,Forgery,Cambridgeport,"600 MASSACHUSETTS AVE, Cambridge, MA",42.364679,-71.103382
2018-03713,2018-06-05T10:33:00Z,Larceny from Residence,North Cambridge,"300 RINDGE AVE, Cambridge, MA",42.393485,-71.136239
2018-03731,2018-06-05T18:25:00Z,Hit and Run,Area 4,"400 TECHNOLOGY SQ, Cambridge, MA",42.363953,-71.091884
2018-03744,2018-06-06T11:15:00Z,Rec. Stol. Property,Mid-Cambridge,"500 BROADWAY, Cambridge, MA",42.375312,-71.115703
2018-03748,2018-06-06T11:23:00Z,Admin Error,East Cambridge,"200 SPRING ST, Cambridge, MA",42.369631,-71.087034
2018-03771,2018-06-07T08:28:00Z,Threats,East Cambridge,"200 Bent St, Cambridge, MA",42.367081,-71.083584
2018-03775,2018-06-07T10:30:00Z,Larceny from Building,Cambridgeport,"600 MASSACHUSETTS AVE, Cambridge, MA",42.364679,-71.103382
2018-03783,2018-06-07T13:23:00Z,Simple Assault,Mid-Cambridge,"HARVARD ST & TROWBRIDGE ST, Cambridge, MA",55.745505,-97.832438
2018-03791,2018-06-07T17:49:00Z,Taxi Violation,Cambridgeport,"0 CENTRAL SQ, Cambridge, MA",42.365029,-71.10456
2018-03792,2018-06-07T17:35:00Z,Admin Error,Cambridgeport,"MASSACHUSETTS AVE & SIDNEY ST, Cambridge, MA",44.663074,-63.611624
2018-03795,2018-06-07T17:31:00Z,Simple Assault,Mid-Cambridge,"500 Broadway, Cambridge, MA",42.375312,-71.115703
2018-03811,2018-06-08T07:53:00Z,Admin Error,West Cambridge,"300 Mount Auburn St, Cambridge, MA",42.373903,-71.134238
2018-03818,2018-06-08T13:10:00Z,Larceny from Residence,Mid-Cambridge,"100 TROWBRIDGE ST, Cambridge, MA",42.376058,-71.109568
2018-03820,2018-06-08T13:30:00Z,Housebreak,Peabody,"0 CONCORD AVE, Cambridge, MA",42.377648,-71.122836
2018-04413,2018-07-02T09:57:00Z,Forgery,Mid-Cambridge,"0 FELTON ST, Cambridge, MA",42.37444,-71.1122
2018-04417,2018-07-02T13:18:00Z,Forgery,East Cambridge,"300 CAMBRIDGE ST, Cambridge, MA",42.370962,-71.081008
2018-04435,2018-07-03T07:33:00Z,Suspicious Package,East Cambridge,"CAMBRIDGE ST & THIRD ST, Cambridge, MA",44.786488,-79.922467
2018-04448,2018-07-03T16:27:00Z,Larceny from Residence,Area 4,"0 COLUMBIA ST, Cambridge, MA",42.363559,-71.099632
2018-04479,2018-07-04T18:28:00Z,Warrant Arrest,Area 4,"MAIN ST & WINDSOR ST, Cambridge, MA",42.262699,-110.194444
2018-04483,2018-07-04T20:48:00Z,Missing Person,Cambridgeport,"0 LAWRENCE ST, Cambridge, MA",42.361167,-71.107074
2018-04485,2018-07-04T21:44:00Z,Hit and Run,East Cambridge,"SECOND ST & THORNDIKE ST, Cambridge, MA",49.50594,-117.280886
2018-04489,2018-07-04T22:28:00Z,Larceny from Building,Riverside,"0 DUNSTER ST, Cambridge, MA",42.373143,-71.11857
2018-04499,2018-07-05T10:12:00Z,Auto Theft,Peabody,"0 GARDEN ST, Cambridge, MA",42.375693,-71.120854
2018-04500,2018-07-05T11:55:00Z,Larceny from Building,Riverside,"700 MASSACHUSETTS AVE, Cambridge, MA",42.365753,-71.104773
2018-04501,2018-07-05T11:18:00Z,Simple Assault,Cambridgeport,"200 ERIE ST, Cambridge, MA",42.360161,-71.108266
2018-04503,2018-07-05T13:52:00Z,Warrant Arrest,Peabody,"GARDEN ST & WATERHOUSE ST, Cambridge, MA",45.959352,-66.700493
2018-04504,2018-07-02T22:37:00Z,Street Robbery,Riverside,"BOW ST & PLYMPTON ST, Cambridge, MA",44.671852,-63.545501
2018-04505,2018-07-05T14:10:00Z,Larceny from Person,Mid-Cambridge,"400 BROADWAY, Cambridge, MA",42.37184,-71.10741
2018-04520,2018-07-05T23:02:00Z,Larceny from MV,Peabody,"0 CONCORD AVE, Cambridge, MA",42.377648,-71.122836
2018-03513,2018-05-28T19:14:00Z,Hit and Run,East Cambridge,"SCIARAPPA ST & THORNDIKE ST, Cambridge, MA",42.371069,-71.081526
